Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2369.989, 14.383, 0.158
1, 32, 40, 32, 616.725, 20.230, 0.334
1, 32, 60, 25, 613.577, 20.252, 0.336
1, 32, 80, 23, 611.978, 20.263, 0.336
1, 32, 120, 20, 597.543, 20.367, 0.340
1, 32, 140, 20, 597.465, 20.368, 0.341
1, 32, 160, 20, 597.222, 20.369, 0.341
1, 32, 180, 20, 596.950, 20.371, 0.341
1, 64, 120, 20, 591.331, 20.412, 0.343
1, 64, 140, 20, 591.246, 20.413, 0.343
1, 64, 160, 20, 591.048, 20.415, 0.343
1, 64, 180, 20, 590.804, 20.416, 0.344
1, 128, 180, 20, 590.747, 20.417, 0.344
1, 256, 160, 20, 590.665, 20.417, 0.344
1, 256, 180, 20, 590.429, 20.419, 0.344
2, 32, 40, 40, 272.165, 23.782, 0.530
2, 32, 60, 35, 269.858, 23.819, 0.533
2, 32, 80, 35, 268.096, 23.848, 0.536
2, 32, 100, 35, 262.391, 23.941, 0.540
2, 32, 160, 35, 261.466, 23.957, 0.545
2, 64, 100, 36, 256.826, 24.034, 0.549
2, 128, 100, 36, 256.141, 24.046, 0.551
2, 128, 160, 34, 255.855, 24.051, 0.554
2, 256, 160, 33, 255.753, 24.053, 0.554
2, 256, 180, 33, 255.391, 24.059, 0.555
2, 256, 200, 33, 255.387, 24.059, 0.555
3, 32, 40, 17, 218.287, 24.741, 0.627
3, 32, 60, 15, 217.574, 24.755, 0.629
3, 32, 80, 15, 217.385, 24.759, 0.631
3, 32, 100, 15, 214.847, 24.810, 0.633
3, 64, 40, 20, 212.217, 24.863, 0.644
3, 64, 60, 17, 211.972, 24.868, 0.644
3, 64, 80, 17, 211.846, 24.871, 0.646
3, 64, 100, 16, 210.071, 24.907, 0.647
3, 128, 100, 16, 208.765, 24.934, 0.650
3, 256, 100, 16, 208.325, 24.943, 0.652
